web-scraper-order,web-scraper-start-url,comment,user,Experience time,score,location,Triptype,score1,score2,score3,score4,score5,score6
1646392474-524,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"First of all let me thanks all staff at Amari Ocean Pattaya . 
I am customer for this hotel since 10 years ago I repeated again & again .. 
really it is amazing hotel & good location, beach view hotel is very close to the beach . 
wide room souring view through the room , also 
Panoramic night city , very good room service . smiley staff , cute & has good hospitality . 
lounge horizon club is very excellent . . 
Big breakfast Buffy is very good & nice night evening everyday with  various drink  . 
Many thanks for General Manager Mr Brendan Daly due to his kind interest 
Also our thanks for Mrs Kamolthip ; Manager, Executive Floor
Our best regards for all staff at family of Amari Ocean Pattaya .
for all above reasons I will be back the first month of next year . 
our best regards 
Mr Nour Ghazi 
Damascus Syria",engnour80,?.?.-14,5,"Damascus, Syria",Family,5-Rooms,5-Location,5-Service,null,null,null
1646392474-402,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"My wife and myself stayed at the Amari Ocean Pattaya for 9 nights from the 28th September 2017 ( What a mistake ) in a Junior suite with ocean view which was wonderful. We stayed in the Dusit last February 2017 which was fabulous so we'd seen the Amari and thought it looked nice.
Our ideal hotel is were you can relax around the pool read our books etc and have a couple of drinks and lunch sit there until about 5 ish, could we do any of these things a big NO for the following reasons and backed up by our photos, Construction machinery such as pile drivers drilling into the rock bed in two areas about 5 metres from the partition panelling that had been erected ( Heath and Safety!! ) then further construction they started digging up the car park directly below our balcony of our suite which we paid a lot of money for which would have been well worth the money if there had been no building work being carried out, if this had been a U.K. Based hotel chain they would have been reported to Trading Standards for misleading potential clients and non reporting of work being carried out, on the hotel booking site it clearly states that this work will be finished by December 2018, incorrect a few senior members of staff told us that it will the work will be completed within 2 years I make that December 2019 !!! More incorrect information.
Ah yes almost forgot we booked a late checkout @ £35 which they waived the cost WOW cheers should have been £350 for all the inconvenience and non suitability of gardens and pool area so we spent all ours days down at the beach area and paid for beach chairs for the entire 10 days.
Please take time to look at the photos as this information may save you some future disappointments when booking at this Construction site ups sorry Hotel !!!     There are 2 questions on the title of this review I will let you decide which is the correct answer.",Frankmag,?.?.-17,1,,Couple,1-Value,4-Rooms,3-Service,null,null,null
1646392474-324,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Good for family with kids, clean, best location as situated in front of beach and just 10mins walk to Terminal 21. Pool and kids club are very clean and in good condition. 
Should improve breakfast with more variety and quality.",hoaw3241,?.?.-19,4,,Family,4-Value,4-Rooms,5-Location,4-Cleanliness,3-Service,4-Sleep Quality
1646392474-393,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,awesome property though part of it was under renovation. Loved the pool and the break fast spread for sure. Very good staff and friendly too. Would surely recommend it to everyone who is going with families..,AshishTapuriah,?.?.-17,5,"Mumbai, India",Family,5-Value,5-Rooms,5-Service,null,null,null
1646392474-511,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Great hospitality to be seen in Amari. They knew what is hospitality means. I stayed at many highly rated hotels in Bangkok but Amari's experience is something different. If you are a business person you would probably have Executive lounge an office like environment and if you are family, couple or friends or a solo then they have all type environment. Great place to stay if you are planning a trip to Thailand.",pramodn805,?.?.-15,5,Trivandrum,Business,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-525,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Another good stay, the staff are excellent and of course really and polite. Good location and excellent food. The pool is great its a shame it has rained so much this week.Location is very good as you are far enough away from the main night life for it to be quiet. But it is only a quick ride on a Baht bus to central or walking street area.",lee c,?.?.-14,5,"Basingstoke, United Kingdom",Business,5-Cleanliness,5-Service,5-Sleep Quality,null,null,null
1646392474-297,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"The rooms were nice and staff are friendly. Nice facilities that meet adults and kids needs. It will be perfect if the rooms were more clean. Overall, I would recommend this hotel to anyone who looking for a nice place to stay in Pattaya",ratthaninc,?.?.-19,5,"Bangkok, Thailand",Family,5-Value,5-Rooms,4-Location,3-Cleanliness,5-Service,5-Sleep Quality
1646392474-359,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Thank you very much for your welcome manner .Tottall I could spend in very good condition.  guest room was good .But only one thing,air condition of blowing was noisy.If it is improved,it will be very nice room.",michihirohori,?.?.-18,4,,Business,4-Value,4-Rooms,3-Location,4-Cleanliness,4-Service,3-Sleep Quality
1646392474-386,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Breakfast are nice and tasty. Swimming pools are good, safe for kids and quite clean. Travel to walking street of Pattaya is easy with tuktuk and quite cheap. However, beach side is dirty and not easy to get to. Perhaps due to current construction so the walk to beach is extended. Room and bathroom are nice, viewing to beach is good to see the sunrise",Hong V,??.?.-17,4,,Family,4-Rooms,5-Service,5-Sleep Quality,null,null,null
1646392474-351,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"a place to return, despite the construction site and noise it is a wonderful hotel with very nice staff in a very good location at the beginning of Pattaya beach. The new pool area will be very nice in the future. I'm already curious how it will be on my next visit ;-)",Trip07733200571,?.?.-18,4,"Stuttgart, Germany",Business,4-Value,4-Rooms,4-Location,3-Cleanliness,4-Service,4-Sleep Quality
1646392474-438,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This is a nice hotel, been coming to Pattaya for 9 years ,and been to the Amari Ocean tower  5  times  now, it has 2 large  pools  a freeform one and a, lap pool and a large jacuzzi ,large well kept gardens and plenty of sunbeds .The rooms in the ocean tower are spacious and clean ,but they don't offer any privacy when your other half is in the toilet .I  always upgrade to the horizon club rooms which are located on the top 3 floors ,the rooms are just the same size as the ones on the lower floors . You pay the extra for the privileges of the club room ,which are not as good as they used to be, first to go was the 3 items of clothing per day  which was washed for free  This year the late 6pm late check out   the daily paper never had one once , the fresh fruit  in the room  was just on  the first day ,There are no snacks or sandwiches  cakes or fresh fruit  during the day in the club room like in previous years, which always came in handy to fend of the hunger pangs  till dinner . The fridge is now locked so if you want a bottle of water or a glass of orange you have to go and ask the staff for one and if there busy you could wait 5 minutes plus for one not much i know but in previous years you just help your self and be on your way simples .Its just these little things you pay the extra for you that makes you holiday special and now they have stopped them its a shame  .You also get a free breakfast which you can have in the horizon club room which handy when the main restaurant is very busy .NOW the buffet breakfast in the main restaurant , yes there is plenty of choice most of the food is quite tasty but the food is COLD  sausages COLD bacon COLD curry COLD ect ect you really need to get this sorted  Amari its not hard it can be done there really is no excuse for cold food .Now on the plus size the food in the horizon club room during cocktail hours was really very good ,all in all nice hotel but Club room benefits cuts are not making me a certainty  to go back again",bevstir,?.?.-16,3,"Newmilns, United Kingdom",Couple,3-Value,4-Rooms,3-Service,null,null,null
1646392474-468,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I love to stay in this hotel, great  staff,perfect environment , near by many tourists attraction, good place to relax, great swimming pool, with many kinds, the garden is so nice, my room with the ocean view ...feeling so fresh ..i think it is so nice for your trip if you come to pattaya",Gracie,?.?.-15,5,,null,null,null,null,null,null,null
1646392474-515,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"As part of a golfing group who stay at the property every year, this alone speaks for itself. 
The hotel location, the staff and facilities are all first class and there can be no complaint in any quarter.
Brendan and his team always went the extra distance to provide what must be the best service and hotel in the area.",Shirleyandtony,?.?.-14,5,"Dubai, United Arab Emirates",Friends,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-283,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"After the renovation finished, the hotel improved in many ways, such as the lobby, the pool, and the kids club. The price is reasonable for a 5 star hotel. The only downside is the breakfast restaurant that is pretty full during long weekends. You might have to wait in line for 30 mins. I think the hotel manager should have a backup plan for long weekends, such as opening a reserved area for breakfast like in some other big hotels.",Nong WT,?.?.-19,5,"Bangkok, Thailand",Family,4-Value,5-Rooms,4-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-377,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,We have stayed in Amari For 03 Nights. We had a Conference along with Gala Dinner in Amari Ocean Pattaya.  Wonderful service and hospitality is shown by all the hotel staff. Food Prepared By Indian Chef Mr. Sridhar was amazing. Smooth Check in - Check out for group of 60 People. All the staff in the Hotel From Housekeeping staff to Management were amazing. I Would recommended this property to everyone from Family Holiday/ Business Trip. Special Thanks To Khun Sai Kareena.,JoJo,?.?.-18,5,"New Delhi, India",null,null,null,null,null,null,null
1646392474-267,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"The hotel is very good in facilities (Room, pool, Kids club). All staffs are very kind and professional. Very impressed in their service mind. The hotel cares about COVID-19 situation so breakfast time is divided in to 4 sessions to reduce guests each session. That's good responsibility for clients.",narathipp134,?.?.-20,5,,Business,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-480,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I stayed in Amari Ocean for two night in last week of October'15, with my wife and daughter (infant). In Pattaya, I visited Alcazar, Nongnooch Gardens and Underwater world, each of which I will highly recommend to any tourist(booked online).
On Amari Ocean, for starters the hotel location is wonderful, right on the beach road, with the sea/beach just across the road, and easy access to markets/streets via shared cab.
The hotel has a landscaped garden, that is merges with Amari Garden ( economical option). The pool has a bar right in middle of the pool. 
The deluxe room is spacious, offers decent view of sea. It has a tub right in the room, a separate bath and a balcony. The hotel has wonderful English speaking staff which makes life much easier. They went out  of the way to help us, as we had an infant with us. The Hotel has a great breakfast spread, with Indian menu added on one of the days. The staff packed some food for the infant daughter, to eat later in the day, at her convenience.
The hotel also has a pub and an Indian restaurant(with a dress code and full range of meals) in separate compounds, which I could not try.
All in all a memorable stay, I whished I had stayed longer.",RahulDelhii,?.?.-15,5,Delhi,Family,null,null,null,null,null,null
1646392474-409,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Wouldn't class it as a 5 star hotel and the Garden wing rooms are a little dated. If you want better rooms make sure you book into the Ocean tower wing. Good staff service is a bit of a lottery. Depending on who you get, it can be great service or poor service. Some of the staff seem very disinterested in their job and it is reflected in house keeping and the front desk especially. The hotel's location is far enough away from walking street and the noise. There is a small beach (use this word loosely) opposite. The tavern bar and restaurant offers some good food and does special foody nights during the week.",world_traveller2ooo,?.?.-16,4,"London, United Kingdom",Friends,3-Value,3-Service,3-Sleep Quality,null,null,null
1646392474-329,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Stayed for 5 days, it was great!!!
Hotel team is polite, and super kind, giving us personal attention and making sure we enjoy our stay. 
Breakfast is excellent  with variety of choice. 
Pool is just perfect, with  slides and mini water park. We and our kids (8,5,1) loved it
Sleeping quality is amazing  and room was spacious and clean 
Thanks Amar Pattaya!!",guy_rg,?.?.-19,5,"Ramat Gan, Israel",Family,4-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-381,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Good service mind for all (reception, restaurant, security guard)
Clean and quiet room
A lot of choices for food (breakfast)
Location is very good (close to the beach and others restaurants around the hotel)",punnarats2017,?.?.-17,4,"Bangkok, Thailand",Business,4-Value,4-Rooms,4-Location,4-Cleanliness,4-Service,4-Sleep Quality
1646392474-428,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Have stayed here many times. The facilities are excellent. all the staff without exception are grea5t. Special mention to Miss KF and Anusak. I feel there have been a few cut backs in the executive lounge which cannot really save Amari that much money but do add to the guest experience. please bring them back. Also 6pm to 8pm would be far better for the evening than 5.30pm to 7.30pm,leethomaswales,?.?.-16,5,"Cardiff, United Kingdom",Solo,4-Value,4-Rooms,4-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-407,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,I love AMARI OCEAN PATTAYA …Junior Suite Ocean View is best room option for me.. stunning panoramic ocean view...so very relaxing...I keep going for this property in spite of ongoing construction…they have taken utmost care to detail to CURTAIL guest disturbances…for me Amari Ocean is simply CHARISMATIC…ENCHANTING…CAPTIVATING…& powerfully  ALLURING…Breakfast sumptuous & lavish and morning staff warm and cheerful smile surely increase my appetite…options available for upgrade…my heartiest THANKS to all STAFF to make my current stay best ever….,Sanjay G,?.?.-17,5,"Kolkata (Calcutta), India",Solo,4-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-378,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,It has a great view of pattaya beach from this hotel.stayed here for two nights.breakfast buffet was good with more varieties especially indian food.large swimming pool.polite staff and it is easily accessible to Pattaya beach road.,Teja C,?.?.-18,5,,Family,null,null,null,null,null,null
1646392474-502,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"we checked into the Amari ocean on the 7th of September for 10 nights and from the minute we pulled up the service could not of been better. All the staff were friendly and very welcoming and could not of made you feel more welcome. we stayed on the 15th floor and our room was stunning. Our bed was huge, the bath was just as big and it was spotless. The views were amazing
Breakfast was served daily on the 3rd floor with a huge selection of food from around the world to cater for even the most fussiest guest. 
We arranged several trips and excursions through the hotels concierge desk. The men could not of been more helpful. One in particular was worth his weight in gold. (i never got his name, but he was the older gentleman). He arranged everything for us from getting picked up and dropped off, to tickets for the Tiffany show.
The location of the hotel is perfect. Right at the top of beach road, far enough away from the hussel and bussel of the bars (Walking street, Drinking street etc.) if you wanted abit of peach and quiet, but easy enough to flag a tuk tuk down if you wanted to go.
I can not Fault our stay in any way. Everything was great from the location of the hotel, to the food served each morning, and the staff who were amazing.
Seriously considering a return trip in the not so distant future",Andrew W,?.?.-15,5,"Wigan, United Kingdom",Couple,5-Location,5-Cleanliness,5-Service,null,null,null
1646392474-366,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,i was very impressed from the new lobby.  The congrotsches in the room wasn´t nice!the breakfast in the Mantra is very good with a nice atmosphäre. The team is very kind and support a lot.thank you very  much and kind regards,dirkschiller2018,?.?.-18,5,"Berlin, Germany",Business,3-Value,4-Rooms,4-Location,3-Cleanliness,5-Service,3-Sleep Quality
1646392474-263,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Spent a day in this hotel to relax and enjoy the pool. First reason why we choose Amari is because of the Family Zone pool,  Upon arrival we are warmly welcome with the polite and friendly  staffs from the security, bell boy, shuttle driver, front desk officers and pool staffs. We had our room upgrade from city view to pool and ocean view, the view from our room is beautiful in every angle. Our room was neat and clean. We had buffet dinner at the Amaya Food Gallery, Pad Thai stands out, the rest was good too. Breakfast was packed with variety of food to choose from.  Fresh Fruits and sausages are my favorite, my daughter loves the waffles. Staffs in Amaya Food Gallery and pool area are helpful, polite and attentive especially the hostess, Khun Jan made our stay even special with his kindness and even offered some pancit (noodle dish) for breakfast.  Overall great experience and looking forward to visit again once kids area are open",PJ Goc-ong,?.?.-21,5,"Pattaya, Thailand",null,5-Cleanliness,5-Service,5-Sleep Quality,null,null,null
1646392474-469,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I've stayed here before and llike this place because of its location, being far away from the seedy parts of Pattaya. I always take a deluxe room with ocean view and have never had cause for complaints. The only reason I don't give it an excellent rating is that it is just opposite the Dusit Thani hotel which in my opinion is in another league and is truly excellent. The facilities here are good and I particularly like the pool area where we have lunch  every day, though the staff are not very attentive and we would end up buying a lot more if they were. Nonetheless, this is a highly recommendable hotel and I'm sure that I'll stay here again......if there's no room at the Dusit!!",Daniel A,?.?.-15,4,"Bangkok, Thailand",Friends,4-Cleanliness,4-Service,4-Sleep Quality,null,null,null
1646392474-507,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Just spent one night in the Ocean Wing and I found the hotel very convenient for business. Room is very spacious and bright. Working station is very well organized with several plugs.
Bathroom lacks a bit of privacy but as I was alone, not a problem.
Breakfast choice was good. Swimming-pool looked very tempting but I had no time.
Overall, I would repeat my stay there.",Hakunamaatata,?.?.-15,5,"Phuket, Thailand",Business,null,null,null,null,null,null
1646392474-326,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"The renovation seems to me a little bit luck of empasis for elderly guests but for familes with kids.
The hotel used to be one of the nicest in Pattaya, but it is regrett that its now not so highly acceptable to elderly people like us.",mrspeedy2015,?.?.-19,4,"Yokohama, Japan",Friends,4-Value,4-Rooms,5-Location,4-Cleanliness,4-Service,5-Sleep Quality
1646392474-346,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We spent 4 nights here and had a memorable stay. The reception staff were very warm and friendly. An enjoyable buffet breakfast, kids club and a great location opposite the beach were the other highlights for us. The hotel is close to some of the attractions like Art in Paradise, Ripleys etc. and also a Mall with good options. The Indian restaurants around the hotel that we tried were a bit unwelcome and that probably was the only blemish in the stay. Based on my experience, I will certainly stay in an Amari property if the situation arises.",Companion796094,?.?.-18,5,,Family,null,null,null,null,null,null
1646392474-256,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Check in process was good. Breakfast was decent but very crowded and even if we had morning 7;30 queue ticket we had to wait for long time, luckily we had access to club lounge so we ate on 19th floor. We also requested to change bed sheet due to stains, they came 1 day after I reminded them 3 times.",JBUK9,?.?.-20,3,London,null,4-Rooms,4-Service,4-Sleep Quality,null,null,null
1646392474-457,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"After viewing some positive reviews,I asked my tour agent to book this hotel for my vacation trip . And my decision proved to be right . It was really an nice n comfortable stay.When we arrived,they welcomed us with welcome drink.Then the reception staff intimated me that,they have upgraded my room from ocean deluxe to a suite.Room was in very good condition with all modern aminities.Lovely bed n pillows.Also they provided fresh fruit basket with flowers on each day in my room. 
The pool was excellent. The pool bar was inside the pool,which distinct it from other properties. Very nice pool bar tenders,serving drinks n snax with great smile.
Overall a beautiful property, modernly equipped with a pleasant work force.Very much recommend. Will definitely back",satya97,?.?.-16,5,"Bhubaneswar, India",Family,null,null,null,null,null,null
1646392474-322,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"That was twice here three years ago.
No change in the service nor in the hotel in general.
It was really exactly as I had it in good memory.
Friendly, cleanly good quality in the service.
I will come again.",Thilaka R,?.?.-19,5,"Luzern, Switzerland",Solo,5-Value,5-Rooms,null,null,null,null
1646392474-430,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Great hotel,
Breakfast was amazing full buffet!
I would recommend for couples only.
However the hotel rooms were very small..
Definitely 5 star!
Great location too!
Mantra restaurant is right next door and is amazing!",Rosa,?.?.-16,5,"Sydney, Australia",Couple,null,null,null,null,null,null
1646392474-431,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Just beside the sea and very central I really enjoyed staying here.   The bedroom was the finest and largest hotel room I have seen.   It was modern,clean and had a little balcony overlooking the sea.   It was particularly well maintained and well lit with a fine reading light something I rarely find today.   You will find the huge variety of food at the buffet breakfast hard if not impossible to beat.   The staff were very pleasant and helpful.   Well done to all involved in running this hotel.",Michael F,?.?.-16,5,"Killarney, Ireland",null,null,null,null,null,null,null
1646392474-427,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Second time in this hotel, both stays being for a couple of times.
Very spacious rooms and bathrooms with rain shower. 
Location is good as it is away from the heart of the town and it is possible to avoid the town's infamous nightlife. The hotel seems to avoid that kind of thing, which makes the stay more pleasant.
Breakfast is quite disappointing for European visitors, but this is not unusual in Asia.
Staff are all very friendly and efficient.
Recommend the hotel.",JMN,?.?.-16,4,Switzerland,Business,null,null,null,null,null,null
1646392474-472,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Many have heard about Thailand and Pattaya. Of course it totally depends on people taste. Good location, clean hotel, bright room gives new energy when you enter the room. Loved the style of bath in and bed. The welcome drink was awesome with lemon grass and tender coconut. View from room is pretty particularly when people come from Middle East full of greenery and sea combination.",S Balaji,?.?.-15,4,Qatar,Business,null,null,null,null,null,null
1646392474-475,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I've stayed 2 nights at this hotel. The rooms are nicely decorated and clean with good view. My room in on Horizon Club floor so we enjoyed complimentary drinks as well as daily evening happy hours with free flow alcohol and snacks. The staff is friendly with great service mind. 
Since it's in North Pattaya, I found it to be in the good place where it's not as crowded and congested while still easy to get around.",supak_la,?.?.-15,5,Bangkok,Business,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-394,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We were very disappointed to see the hotel construction when we arrived at first, but there wasn't much noise and the service was great!
Hotel staff members are all very kind!
The hotel is very close to the shopping area.",youngseoks689,?.?.-17,4,"Seoul, South Korea",Family,4-Value,4-Rooms,5-Location,4-Cleanliness,5-Service,5-Sleep Quality
1646392474-278,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Nice hotel and at good location for shopping. The staff was and service minded. 
Very nice room in the suite building with balcony and newer less I was happy to see the Nespresso machine in room. In the weekend its a kids paradise and a rather crowded in pool area. I rather avoid the area in the weekends.",olekristianhalvorsen,?.?.-20,5,,Business,4-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-517,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We stayed as a family of 6 in Oct 2012, the pool areas were amazing and the service was fantastic, the room was a bit squashy but well presented. The breakfast buffet was fantastic, anything you could possibly think of to eat was there. great family destination.",Jane M,?.?.-13,5,"Melbourne, Australia",Family,5-Value,4-Rooms,5-Location,5-Cleanliness,5-Service,3-Sleep Quality
1646392474-274,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Not sure what kind of hotel is this? We booked a president suite, the room is great view but it not worth money at all, we paid almost 8,000 bath per night, it no service at this hotel, no room service or any kind of service because nobody pick up the phone. 
Our family try to order room service but nobody pick up, so we have to come down to restaurant and nobody there, and the floor is very slippery and my son and I fell so hard, both of us hurt. And the food is impossible to eat we order most simple dish for my son, Thai style fly egg, and it was so bad. 
This hotel is suitable for a cheap night sleep, if you looking for service or comfortable, go elsewhere.",Ratree Yang,?.?.-20,1,"Bangkok, Thailand",Family,null,null,null,null,null,null
1646392474-371,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Big noise all nights from outside construction Hotel request you deposit of 120 % of the complete stay. If you paid all by card  no refund possible and deposit was charged in your bank account after 3 Days,mariesF116VG,?.?.-18,1,"Shanghai, China",Business,1-Value,1-Rooms,3-Location,5-Cleanliness,4-Service,1-Sleep Quality
1646392474-429,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We stayed at this fabulous place for 3 nights my friends and i, it was fabulous. Rooms are spacious, clean, modern, comfortable (with ocean view or pool/city view). Breakfast had a wide choice of local and international selection of food. There are 2 pools and a jacuzzi and no matter how crowded it gets u always find a place, a longue-chaise and clean towels. The only thing we weren't impressed with was lunch/dinner as food was not tasty at all, actually it was really bad so we ate outside most of the days. Spa was great yet expensive but they have offers during the day . The resort is a walking distance from the beach and the massage places but u can use the tuktuk to go further.",Rania H,?.?.-16,5,Beirut,Friends,null,null,null,null,null,null
1646392474-252,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Overall ok, suitable for families. Good location, next to the beach, convenient, good service, good cleanliness, spacious rooms, good facilities. I have to tell about the bed, pillows, very comfortable, but I would like to adjust the breakfast menu (Thai food).",Pichet P,?.?.-21,4,,Family,4-Value,4-Rooms,4-Location,4-Cleanliness,3-Service,5-Sleep Quality
1646392474-486,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Our 3rd visit to this marvellous hotel. Fifteen days of bliss. There is no question that the standard of accommodation, housekeeping, catering and attention to detail are top class. The number of staff who have worked at the hotel for many years are testament to a happy, loyal workforce. Special thanks to our room maid Naknipha for doing a wonderful job; cleaning, presenting our room daily and going the extra mile. To Surasak for yet again managing the poolside staff, drinks and food and enabling them to deliver food and drinks to the poolside, fast, efficiently and always with a smile. Thanks to Dan, the Food and Beverage manager (always courteous and happy) and finally thanks to Brendan Daly the General Manager of a 5 star hotel with a 5 star customer service ethos, always willing to stop and chat to the guests. You and all the staff made our holiday, see you again. Austin and Audrey Connor",austinconnor,?.?.-15,5,"Aragon, France",null,null,null,null,null,null,null
