web-scraper-order,web-scraper-start-url,comment,user,Experience time,score,location,Triptype,score1,score2,score3,score4,score5,score6,,
1643532145-258,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Spent 6 wonderful nights at the Hard Rock Hotel in Pattaya in October/early November.
Stayed in a Roxstars family suite overlooking the ocean.  The check in staff were excellent on the 9th floor.  The suite (on the 10th floor) was amazing with separate room for hubby and I and a little nook with bunk beds for my son who felt special in his own little space and had his own bathroom.  Our room was just gorgeous with a beautiful view of the ocean and all around Pattaya.  Bed was super comfortable, pillows were perfect (not too hard or soft) so sleep quality was excellent here.  Bathroom was really roomy with a huge bathtub in it.  There were 2 tvs in our suite (1 for my son's area and 1 in our bedroom) and plenty of good channels including free new release movies.  We also had 2 balconies - a small one which opened in the corner of our bedroom and another large balcony from the lounge room.
Breakfast was a very good mix of asian and western.  I loved having noodles each day - it varies each day but the chicken noodles were just to die for - absolutely delicious!
Pool area is massive combining both concrete pool areas and there was a little beach area attached with various water slides which my son loved.  There was also an area of the littler kids with a playground within a pool.  There were all sort of pool games each day and other fun activities for the kids such as rock climbing (which was free at various times of the day).  There was also a supervised kids club that you can leave your children to play in for THB100 per hour per child (which is an absolute bargain) - they can play xbox/playstation or watch a movie or just hang out.  
By far, the best thing about staying at this hotel was the staff particularly the pool and the lounge (level 9) staff.  What a great bunch of people, so very attentive and such beautiful and funny personalities.  Because of your beautiful staff, we will definitely be back.",tzu1974,Date of stay: October 2017,5,"Windsor, Australia",Trip type: Traveled with family,5-Rooms,5-Cleanliness,5-Service,null,null,null,,
1643532145-465,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"We stayed at the Hard Rock hotel for 3 nights and to be honest, I'm glad it wasn't more. Parts of swimming pool closed, children's room very poorly run, some attractions closed and the hotel shows its age!",Christopher M,Date of stay: June 2016,2,"Hua Hin, Thailand",Trip type: Traveled with family,null,null,null,null,null,null,,
1643532145-162,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,Top notch Hotel in Pattaya if you love the beach 🏖 its right there in front of you.  Most important thing its H&R great entrainment at night by the bar and customer service is outstanding from the front desk to the restaurant staff.  Get there!!,Sean C,Date of stay: October 2018,5,,Trip type: Traveled solo,4-Value,5-Rooms,4-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-37,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I highly recommend for family with kids. 
Swimming the best fun.
Rooms are nice but seen better. Bed awesome...
Restaurant near pool too pricey for Pattaya.. Recommend their restaurant off beach road or take a blue public 10 baht taxi down beach road to Hops restaurant. Always a winner. 
Hardrock Breakfast buffet very good.. 
Again best place for the kids to swim and have fun in pattaya...",Starsshines4US,Date of stay: November 2019,4,"Si Racha, Thailand",Trip type: Traveled with family,null,null,null,null,null,null,,
1643532145-230,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Overall our experience at the Hard Rock Hotel Pattaya was excellent. quite a central place with 5 min ride on Bhat bus to Walking Street. nice clean rooms and good view on the west wing facing the beach. Nice large pool with slides for kids. Very friendly staff especially Anne (Whitney) at the reception and Esther at the restaurant. The Long haired manager at the Hard Rock Cafe was very rude to one in our group. He falsely accused my friend of inapropriately talking to another guest, which we challenged with the management and proved my friend was falsely accused after checking CCTV.  Overall a super stay and a great experience. I would rate this excellent if not for the incident the Long Haired cafe manager created.",Channa B,Date of stay: September 2018,4,,Trip type: Traveled with friends,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-168,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Great place, good vibe and excellent place for families. Unfortunately, the restaurant in the morning for breakfast can be very busy with residents from particular countries more unpleasant to deal with.",david f,Date of stay: October 2018,4,"Randwick, Australia",Trip type: Traveled on business,4-Value,4-Rooms,4-Location,4-Cleanliness,4-Service,4-Sleep Quality,,
1643532145-177,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,I just stay for 1 day but I am willing to go back for next time. My daughter loves the large pool and sandy pool. Sand was very clean and had great texture!!! Room temperature was bit cold for my wife but it was ok for me. Only bad thing was there is no vallet parking and parking lot was bit far when rain was hard.,윤석 최,Date of stay: October 2018,5, ,Trip type: Traveled with family,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-141,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"There not good accomodation for 2 adults and 1 chd - only 2 beds. There no any choice of european food in restaurant . It was very difficult to feed a child, not tasty.No animation for children as was earlier.high price for this level of service",Dreamer39318714291,Date of stay: October 2018,2, ,Trip type: Traveled with family,2-Value,2-Rooms,3-Location,4-Cleanliness,2-Service,2-Sleep Quality,,
1643532145-541,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I have very unforgettable experience during my stay in hotel in August 2016. 
I booked a room in the Kings Club lounge and requested to have room near my friends who will stay at the same hotel at the same period. This requested is not entertained.
We have breakfast at the lounge on 9/F. While kids were playing iPad in the lounge, I went back to my room to go to toilet. Surprisingly, I found my luggage was searched by someone, and there were ""orange"" coloured stains on some of my clothes. I also found out that my daughter FROZEN bracelet was stolen.
I lodged my complain to the manager ANN. She got all the cleaners to come to my room and questioned them in front of me. This is ridiculous. How would the theft admit that she has stolen things in my room. The manager explained to me that no cleaner has stolen my daughter's bracelet. However, she failed to explain why my luggage was so messy with stains.
In the afternoon, she told me that my daughter bracelet was found in the lounge. This was impossible because she cannot take it off by herself, the bracelet is a leather one with button, not easy to take it off by kids.
Another bad experience is about the car. I booked a van for 2000 THB for a return trip from hotel to Cartoon Network waterpark. In our return trip, the driver came to pick up with his girlfriend sitting in the front. We have six people, my friend has to sit at the dog seat at the back with the luggage. This was so uncomfortable for a 45 mins trip. He also dropped his girlfriend to home.  I took photo of his girlfriend sitting in front as evidence to complain. 
I don't expect a five star hotel is so poorly managed.",Otta117,Date of stay: August 2016,1,"Hong Kong, China",Trip type: Traveled with family,1-Value,1-Rooms,3-Location,2-Cleanliness,1-Service,3-Sleep Quality,,
1643532145-545,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"It´s been a nice accommodation , after the third day the breakfast was a bit boring hence it's been always the same ! However the pool facility is very suitable for a family vacation, we also enjoyed the GYM very much , which is fairly good equipped for a Hotel. We´ll come back and hope the the evening buffet we keep the quality that it once had.",Jan-michael B,Date of stay: August 2016,4,Bangkok ,Trip type: Traveled with family,3-Value,3-Rooms,4-Location,3-Cleanliness,5-Service,3-Sleep Quality,,
1643532145-172,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"We use the Hard Rock Hotel every year, but our new employees are also kind and satisfied.I'm very satisfied with my recent trip.I plan to use it next year.Do you have any service?HahaI hope you are always healthy and happy.",keem123,Date of stay: October 2018,5,"Seoul, South Korea ",Trip type: Traveled with friends,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-57,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"The big swimming pool is always kept nice with a lot of fun. 
The water temperature of the shower can be improved. Sometimes, especially in the morning, I have to wait for 10 minutes for warm water coming out.",cazhan2019,Date of stay: October 2019,4, ,Trip type: Traveled on business,4-Value,3-Rooms,5-Location,4-Cleanliness,4-Service,5-Sleep Quality,,
1643532145-209,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"This was our second stay at Hard Rock Pattaya. We only came to Pattaya for a short break before heading to the North of Thailand. We chose Hard Rock due to its great location on Beach Road and its amazing pool. When checking in the receptionist saw we had stayed before and offered us 'our' room, nice touch but he twisted our arm with a free sea facing upgrade so we declined and took the better room! As last time we didn't spend a baht in the restaurant or bar as there is so many options nearby at a fraction of the price. A Baht bus ride (10B) away from craziest nightlife and a short walk from more local drinking establishment's. The pool really sets the hotel apart from other 4*'s, worth the stay especially if the price is right.",Ross_and_Sonya,Date of stay: September 2018,4,UK,Trip type: Traveled as a couple,null,null,null,null,null,null,,
1643532145-563,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Stayed for one night at this hotel.
As usual for Hard Rock hotel, the services was great and excellent.
We stayed at King Club Deluxe Room. I recommended you travellers to choose the King Club, you will pay more but it is worth it.
Your check in counter for King Club is at 9 floor. It is executive lounge, You can enjoy all the soft drink, milk, juice, and cake while checking in.
You can still enjoy this for whole day during your visit. And at 6.30pm-7.30pm there is a cocktail free, which we missed it.
And don't forget to ask the hotel to let you try the fender guitar. They will bring it to your room.
And every Saturday they have a foam party at the pool.
If you have plan to visit the Cartoon Network Amazon, I suggest you to book the ticket through this hotel prior your arrival. With the same price you will get a free shuttle from this hotel to Cartoon Network Amazon go and return.",Fransis N,Date of stay: November 2015,4,"Jakarta, Indonesia",Trip type: Traveled with family,4-Cleanliness,5-Service,4-Sleep Quality,null,null,null,,
1643532145-219,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Stayed here for a business trip.  Nice hotel!  Great location! Nice and friendly staff!  Nice pool!  Decent breakfast. Pattaya has beach under construction so that was kind of a bummer! HOWEVER, Didnt receive my Hard Rock reward points.",aball749,Date of stay: September 2018,4,"Detroit, Michigan ",Trip type: Traveled on business,5-Value,4-Rooms,5-Location,4-Cleanliness,5-Service,4-Sleep Quality,,
1643532145-550,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"K.Bew is very good service, nice guy and take action asap as I have required.
But your sales manager did not follow up my point and slowly responsed also miscommunicate. 
She did not contact me after get our letter confirmation.",sawaratkob1,Date of stay: August 2016,3,Bangkok ,Trip type: Traveled on business,3-Value,3-Rooms,3-Location,3-Cleanliness,2-Service,3-Sleep Quality,,
1643532145-233,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I have been staying at the Hard Rock for quite a while.  Never had a disappointing stay.  will continue to stay at Hard Rock when in town.  Have stayed at other hard Rock hotels, but this is my favorite overall",haar102866,Date of stay: September 2018,5,"Doha, Qatar ",Trip type: Traveled as a couple,4-Value,4-Rooms,4-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-569,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Just returned from a 10 day stay at the Hard Rock Hotel, had an amazing time. Stayed in a club room, the room was not as large as I expected but having said that it was adequate. The room was always kept spotlessly clean by housekeeping. 
Staying in a club room allowed access to the club lounge, serving breakfast in a comfortable and relaxed atmosphere, free tea, coffee and snacks were also available throughout the day with free cocktails and snacks from 18-00 to 19-30 in the evening. The staff at the club lounge were great, making me feel that little bit special.
This was my 5th visit to Pattaya staying at various hotels and the staff at the Hard Rock were simply the best, a credit to the hotel, nothing was too much trouble for them. I send my thanks to all of the staff of the hotel. 
The facilities and activities were incredible, from rock climbing, pool volleyball, pool handball and more should you feel energetic enough. The pool is large with plenty of sun loungers around, there is a pool bar with attentive staff serving food and drinks, the guy's here at ""The Shack"" also deserve a special mention.
Apart from the main restaurant, ""The Starz"" the other bars and restaurants were always very quiet. There are cheaper bars and restaurants close to the hotel which I think many of the guests were using. This is not a hotel for those on a budget but if you want a distinctive and somewhat exclusive hotel, I would highly recommend The Hard Rock. I am now looking forward to my next visit.",John M,Date of stay: November 2015,5,"Middlesbrough, United Kingdom",Trip type: Traveled solo,3-Value,5-Location,5-Service,null,null,null,,
1643532145-302,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"It was very cold in the room although we changed the temperature of the air. Food didn’t taste good. However, the staff were very friendly and they provided us with good service. Swimming pool was great.",kulrisab,Date of stay: October 2017,3,,Trip type: Traveled on business,4-Value,3-Rooms,4-Location,4-Cleanliness,4-Service,3-Sleep Quality,,
1643532145-327,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I was so angry that I could not eat a beer because of the outside food when I used the pool. It seems that some flexibility is needed. Room cleaning, location, and other areas were very satisfactory.....",ymoosung,Date of stay: October 2017,2, ,Trip type: Traveled with family,3-Value,4-Rooms,3-Location,3-Cleanliness,1-Service,4-Sleep Quality,,
1643532145-639,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Once again was not disappointed with this hotel staff are really good and friendly and the pool is a winner. They have a foam party for kids and adults every Saturday which was also lots of fun. The hotel is in a good location for nightlife but is not noisy.
Whilst it is 1 of the more expensive hotels in Pattaya it is worth it.",rangsboom,Date of stay: August 2014,4,"Perth, Australia",Trip type: Traveled with friends,4-Location,5-Service,4-Sleep Quality,null,null,null,,
1643532145-108,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"This hotel rocks. On all counts. Stayed for for 2 nights. Staff are genuinely cheerful and friendly, not just in the front desk but all over the hotel. This is the biggest plus. Had a sea facing room with a balcony and a wonderful view of the pool and the sea. Spent most of my time here. Rooms are functional and comfortable.  Hard rock merchandise displayed in the room for sale. Very good breakfast. Choice of lounge/ restaurants to select from. Helpful travel and activities desk. Just across the beach. Great for families. I can go on.  Keep rocking guys.",Venkychief,Date of stay: September 2019,5,"Chennai (Madras), India",Trip type: Traveled solo,null,null,null,null,null,null,,
1643532145-753,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I was looking for a bargain for pattaya hotel and found this secret deal on wotif.com for a pattaya hotel so i went for it. It turned up to be this Hard Rock, then I search the net, couldn't find any better rate.
Stay there for the weekend. It was fab, foam party and all that.  Thay also have a free activities for me to join but i was too drunk ot catch it. I went there with my girlfrind so i didn't go for the Hard Rock Cafe but we walk down the street and found this seafood rest. - can't remember the name, the blue blue shop. the sauce was very very spicy. The walking street has changed a lot, too much of those a-go-go, don't go to pattaya with your girlfriend, hehehe.",lsp10260,Date of stay: November 2007,4,Little Southport in ,null,null,null,null,null,null,null,,
1643532145-285,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Stayed for 2 nights and enjoyed every minute of my stay. The service is truly beyond expectation from the minute the transport pick me up to arriving at the hotel warmly greeted by the concierge and the front desk (with quick check in) as well as from the lift attendant to the housekeepers and to the team working at the rock spa, rock royalty and hard rock cafe! Truly awesome and a place that I highly recommend to any tourists that are visiting Pattaya.",j0hnnylin,Date of stay: October 2017,5, ,Trip type: Traveled on business,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-191,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"We booked a room from agoda, great hospitality from reception, belldesk, frontdesk. Nice facility, clean pool with secure lifeguards around, buffet for breakfast was ok, cappuccino was yummy. Recommended for family stating in pattaya, close to major shopping department storea as well.",livelaughandeat,Date of stay: October 2018,4,"Bangkok, Thailand ",Trip type: Traveled with family,null,null,null,null,null,null,,
1643532145-674,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"First all I would like to say that I am a rock geek and wanted to visit this hotel in Thai a long time ago. I can say that generally I liked it. All of the stylistics and atributes of good music make your stay special. But this hotel is rather
 old and some buildings and rooms better  to rennovate. Also live music in the hard rock cafe was lame! Really you better choose more professional bands for it. But overral o liked my stay there. But the price could be not that aggressive :)",Hank148,Date of stay: February 2012,4,,null,3-Value,4-Rooms,4-Location,4-Cleanliness,4-Service,null,,
1643532145-254,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"The hotel is along the beach. It’s an easy walk or ride to all the attractions. The place falls short on general service. While they are nice, very few seemed to care if you were there. A booming tip. They drop rates closer to the actual day. Always check for lower rates v",Leo263,Date of stay: November 2017,4,"Chicago, Illinois",Trip type: Traveled solo,4-Value,4-Rooms,4-Location,5-Cleanliness,3-Service,4-Sleep Quality,,
1643532145-749,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,Our stay in Hard rock hotel was a marvellous experience. The rooms though slightly small were extremely cosy and well planned. The lobby was a treat for any music lover. The breakfast spread was one of the best if not the best I have ever come across. I strongly reccomend Hard Rock as its also very well located.,Subid M,Date of stay: October 2009,5,"Kolkata (Calcutta), India",null,5-Value,4-Rooms,4-Location,5-Cleanliness,4-Service,null,,
1643532145-186,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,I have stayed at this hotel many times. I very love this place.I will going again on December and staying Hard Rock for sure.Suggestion : If you wants a great time in Pattaya. You must come here.^_^,aoms,Date of stay: October 2018,5,"Bangkok, Thailand ",Trip type: Traveled as a couple,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-86,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"We enjoy our stay at Hard Rock Hotel Pattaya, got free room upgrade from City View to Deluxe Pool View. Looking forward to go back again. Good location, the sea beach is clean. The choice of breakfast is not very variety comparing to the 4-5 star hotels. Disagree on the charge of THB 100 / hour for Kids Club, it should be complimentary for the hotel guests just like other hotels. Overall, the stay is worth.",Haruthai M,Date of stay: September 2019,5,"Bangkok, Thailand",Trip type: Traveled with family,5-Value,5-Rooms,5-Location,4-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-691,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,This was my second stay at the hotel which is right on Beach Road. Rooms are large and spacious and ours had a great view to the Ocean. The whole decor of the room is nice and chic with plush carpets. Theres also a huge pool in the hotel with slides which the family can enjoy together. Right across the hotel is the beach with many options for water sports and littered with mini shacks offering drinks and food. I have no hesitation recommending this hotel.,aj_chopra,Date of stay: October 2012,5,"Bidhannagar, India",Trip type: Traveled with family,null,null,null,null,null,null,,
1643532145-592,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Best hotel in pattaya , everything was perfect , the best thing in this hotel is the friendly staff , smiling and very helpful , it was very comfortable vacation , bathroom is perfect , everyday 4 towels , beside hands towels , floor mat , tv is wonderful u can choose many of available movies to order and watch for free , internet free and fast , for me location for me was far from walking street and restaurants As i dont like walking",Sasha,Date of stay: December 2014,5,"Salmiya, Kuwait ",Trip type: Traveled solo,4-Value,5-Service,5-Sleep Quality,null,null,null,,
1643532145-197,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,It is the best hotel to stay with my family.  And I was happy because of the kind staff who always smiled.  The location of the hotel was good.  The swimming pool was so nice to be with my family.Recommend.,conan009,Date of stay: October 2018,4,"Seoul, South Korea ",Trip type: Traveled as a couple,5-Value,4-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-374,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,I have stayed at the Hard Rock every trip I've made to Pattaya. There is just no other hotel for me. I've tried others and they just don't compare. Everyone is amazing here and even the guards recognize you. I will definitely be back again.,MrsJ,Date of stay: September 2017,5,Singapore,Trip type: Traveled with friends,4-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-195,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Great hospitality by Hard Rock hotel Pattaya.
We had a wonderful and great time in attending ICO'2018 International Conference at Hard rock Hotel Pattaya.
This is the best hotel in Pattaya. We strongly recommend this hotel for the tourist vising Pattaya in the near future.
Sincerely Yours,
General Chair
ICO'2018",icico2018,Date of stay: October 2018,5,"Sungai Petani, Malaysia ",Trip type: Traveled with friends,5-Value,5-Service,5-Sleep Quality,null,null,null,,
1643532145-93,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"The times we have stayed at a hard Rock property,the service/food /entertainment have always been wonderful. The location was excellent as well as the view from the room and my wife really enjoyed the pool.",Brian S,Date of stay: September 2019,5, ,Trip type: Traveled as a couple,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-377,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,Good and comfortable stay. I would definitely stay at this location again. The club staff was good and provided excellent service. The menu at the club was also good. Keep up the good work and try to maintain it consistently.,Ifti A,Date of stay: September 2017,4,"Karachi, Pakistan",Trip type: Traveled on business,4-Value,4-Rooms,4-Location,3-Cleanliness,4-Service,5-Sleep Quality,,
1643532145-339,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"ive been to 3 different hard rock hotels in malaysia, bali and pattaya. their environment is great for gateway with family.    services for room changing is quit slow but acceptable.   highly recommend to all families out there.",Megat Noor I,Date of stay: October 2017,4,"Kuala Lumpur, Malaysia ",Trip type: Traveled with family,5-Value,5-Rooms,5-Location,5-Cleanliness,4-Service,5-Sleep Quality,,
1643532145-698,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"This is my 2nd time coming back to this Hotel and had read some comments about it! I think it is unfairly remarks given to this remarkable Hotel! Was there early of Sept, and got a fantastic offers for weekdays at their own official webs. I chosen to stay at their Kings Club Sea view rooms and theirs staffs on that floor were superbs! I got the room with balcony as I'm smoker and personally, it is big enough! Fantastic view overlooking the beach... Just breath taking especially the sunset hour complement with free cocktails at the Lounge on the 9th floor. Hanging around their big pool was fantastic! Every morning, I saw their staffs cleaning the big pool even though it is still drizzling! Gosh.. What a commitment! Kudos to these guys.. Tried their Spa, just amazing masseus! Location of this Hotel is just perfect, smacked in the middle of the city... Pattaya's night life is second to none and I just hate it when people say it is sleazy etc etc.. This is Pattaya! I just love it all! I will be back to this Hotel for sure...",junp308,Date of stay: September 2012,5,"Bangkok, Thailand",Trip type: Traveled solo,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-319,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Close to Everything , Great service, their chicken wings very nice 
super friendly staff , super nice room. super great bbq dinner just that the menu is same everyday abit boring for eating the same food everyday :)",Miki L,Date of stay: October 2017,5,Pinang ,Trip type: Traveled on business,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-240,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,Overall great time in pattaya. The hotel has a great view of beach road and the staff was friendly. I was there to visit friends for roughly a week. Many of my friends booked other 5 star hotels. When they can to visit they ended up liking the vibe at the hard rock better. They plan on staying there next time they visit.,mlgreen27,Date of stay: August 2018,5,"New York City, New York ",Trip type: Traveled with friends,4-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643532145-389,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Good facilities for having fun but maynot be so suitable for business travelers. The room soundproof is not good enough, can still hear the neighbor talking in the room in midnight plus the music. Some of the travelers came back late. Suggest to ""separate"" the business travelers with those in vacation if there is a way to find out during check in. The morning call was called late, morning call was only made after 45mins. Asked for the 1st aid kit, but only came to the room after 2nd call.",brendalV9729TM,Date of stay: September 2017,4, ,Trip type: Traveled on business,4-Value,3-Rooms,4-Location,3-Cleanliness,3-Service,3-Sleep Quality,,
1643532145-212,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Staff is nice (80% of the staff), but room has some big noise from a machine outside and more is unacceptable in 2019 that hotel blocks money from you credit card for guarantee. A traveler needs money in his credit card not in hard rock hotel bank. C'mon this is so old style. Food is ok but not 4 stars. Pool is nice",Johnny,Date of stay: September 2018,2,,Trip type: Traveled with friends,2-Value,3-Rooms,3-Location,3-Cleanliness,4-Service,2-Sleep Quality,,
1643532145-353,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"would be far much appreciated if you could offer us especially the kids some more complimentary services like few more free laundry (as we were staying for 4 nights, however the free qty is same as those who only stayed for 1 nights which seems not so fair) or offer like free ice cream or 1 time free pool side villa since we are super loyal customers:)
**we have been visiting your hotel for 4 times already**",amy c,Date of stay: September 2017,4,"Hong Kong, China ",Trip type: Traveled with family,3-Value,4-Rooms,4-Location,4-Cleanliness,4-Service,4-Sleep Quality,,
1643532145-459,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I enjoyed staying at your hotel in general.  Room condition, location, hospitality, everything was good.  I liked the quality of breakfast and swimming pool the most.  I will definitly come back to your hotel in the future. Thank you!",Q3353YMannas,Date of stay: October 2016,5,"Busan, South Korea ",Trip type: Traveled with friends,5-Value,4-Rooms,3-Location,4-Cleanliness,4-Service,4-Sleep Quality,,
